DID,Name,Bytes,Scaling,Unit,Protected,Protected Status,Description
0x3E8,Ambient Pressure,2,raw*0.5,kPa,No,🟩 Public,Barometric ambient pressure from baro sensor
0x3E9,Engine RPM,2,raw/4,rpm,No,🟩 Public,Engine speed (primary fast PID)
0x3EA,Vehicle Speed,1,raw,km/h,No,🟩 Public,Vehicle speed from ECU
0x3EB,Coolant Temperature,1,raw-40,degC,No,🟩 Public,Engine coolant temperature
0x3EC,Intake Air Temperature,1,raw-40,degC,No,🟩 Public,Ambient/intake air temperature pre-throttle
0x3ED,Throttle Body Temperature,1,raw-40,degC,No,🟩 Public,Temperature near throttle body
0x3EE,Accelerator Pedal Position,1,raw/255*100,%,No,🟩 Public,Driver pedal demand
0x3EF,Throttle Plate Angle,1,raw/255*100,%,No,🟩 Public,Electronic throttle opening
0x3F0,MAP (Manifold Absolute Pressure),1,raw*0.5,kPa,No,🟩 Public,Absolute manifold pressure (subtract baro for boost)
0x3F1,MAF Airflow,2,raw/100,g/s,No,🟩 Public,MAF mass airflow (GDI)
0x3F2,Ethanol Content,1,raw/2,%,No,🟩 Public,Fuel ethanol fraction (flex compensation)
0x3F3,Fuel Temperature,1,raw-40,degC,No,🟩 Public,Fuel temperature sensor
0x3F4,Fuel Rail Pressure,2,raw*5,kPa,No,🟩 Public,High pressure rail pressure
0x3F5,Knock Retard Total,1,raw/2,deg,No,🟩 Public,Global knock retard
0x3F6,Ignition Timing Advance,1,(raw/2)-64,deg,No,🟩 Public,Ignition advance
0x3F7,Torque Request (Driver),2,raw/2,Nm,No,🟩 Public,Requested engine torque from driver input
0x3F8,Torque Actual (Delivered),2,raw/2,Nm,No,🟩 Public,Calculated delivered crank torque
0x3F9,EGR Command %,1,raw/255*100,%,No,🟩 Public,EGR valve command percentage
0x3FA,Wideband Lambda,2,raw/32768,lambda,No,🟩 Public,Wideband lambda sensor reading
0x3FB,Short Term Fuel Trim,1,(raw-128)/1.6,%,No,🟩 Public,Short term fuel trim bank 1
0x3FC,Long Term Fuel Trim,1,(raw-128)/1.6,%,No,🟩 Public,Long term fuel trim bank 1
0x3FD,Catalyst Temperature,2,raw-40,degC,No,🟩 Public,Catalyst temperature sensor
0x3FE,Engine Oil Temperature,1,raw-40,degC,No,🟩 Public,Engine oil temperature (if present)
0x3FF,Engine Load,1,raw/255*100,%,No,🟩 Public,Calculated engine load
0x400,Spark Advance Base Map,2,raw/2-64,deg,Yes,🟥 Protected,Base spark advance value from calibration maps
0x401,Knock Retard Cyl 1,1,raw/2,deg,Yes,🟥 Protected,Per-cylinder knock retard for cylinder 1
0x402,Knock Retard Cyl 2,1,raw/2,deg,Yes,🟥 Protected,Per-cylinder knock retard for cylinder 2
0x403,Knock Retard Cyl 3,1,raw/2,deg,Yes,🟥 Protected,Per-cylinder knock retard for cylinder 3
0x410,Misfire Counter Cyl 1,2,raw,count,Yes,🟥 Protected,Misfire event counter for cylinder 1
0x411,Misfire Counter Cyl 2,2,raw,count,Yes,🟥 Protected,Misfire event counter for cylinder 2
0x412,Misfire Counter Cyl 3,2,raw,count,Yes,🟥 Protected,Misfire event counter for cylinder 3
0x420,STFT Bank 1,1,(raw-128)/1.6,%,Yes,🟥 Protected,Alternate short term fuel trim representation
0x421,LTFT Bank 1,1,(raw-128)/1.6,%,Yes,🟥 Protected,Alternate long term fuel trim representation
0x430,Cylinder Injection Timing 1,2,raw,us,Yes,🟥 Protected,Commanded injector pulse width for cylinder 1
0x431,Cylinder Injection Timing 2,2,raw,us,Yes,🟥 Protected,Commanded injector pulse width for cylinder 2
0x432,Cylinder Injection Timing 3,2,raw,us,Yes,🟥 Protected,Commanded injector pulse width for cylinder 3
0x440,Ignition Advance Cyl1,2,raw/2-64,deg,Yes,🟥 Protected,Per-cylinder ignition advance command
0x450,Torque Model Output Index,1,raw,index,Yes,🟥 Protected,Index used to look up torque model outputs
0x460,Adaptive Knock Threshold,2,raw,internal,Yes,🟥 Protected,Adaptive knock detection threshold value
0x470,Reserved,1,raw,NA,Yes,🟥 Protected,Reserved engineering DID
0x500,Idle Learning Value,2,raw/2,%,Yes,🟥 Protected,Stored idle adaptation value
0x501,Fuel Pump Duty,1,raw/2,%,Yes,🟥 Protected,Commanded fuel pump duty cycle
0x502,Turbine Wastegate Duty,1,raw/255*100,%,Yes,🟥 Protected,Wastegate PWM command (raw)
0x503,Spark Learning Correction,1,raw/2,deg,Yes,🟥 Protected,Long-term spark correction value
0x520,Knock Learning Global,2,raw/2,deg,Yes,🟥 Protected,Global knock learning correction
0x530,Catalyst Efficiency Learned,1,raw/255*100,%,Yes,🟥 Protected,Learned catalyst efficiency metric
0x540,Adaptive Boost Trim,2,raw*0.1,kPa,Yes,🟥 Protected,Boost trim applied by adaptation algorithms
